modelo_id,familia,tag,arquivo,sha256,bytes,imgsz,epochs,metrica,metrica_fonte,quando,origem,copia_canonica
ENTREGA/corpo-cls/corpo-cls.pt,ENTREGA,corpo-cls,corpo-cls.pt,ce537925c6553754b65e6976cae5dcbe72ce219bd4f8e78b2fe06f5fe052e287,2969992,,,,,,pnaat-modelos/ENTREGA/corpo-cls/corpo-cls.pt,ENTREGA/corpo-cls/corpo-cls.pt
ENTREGA/corpo-detector/corpo-detector.pt,ENTREGA,corpo-detector,corpo-detector.pt,06b81f85b40c10ece236f03f259e57cdb9db5cfb0a7247c96bd64b40e0cf507d,6220138,,,,,,pnaat-modelos/ENTREGA/corpo-detector/corpo-detector.pt,ENTREGA/corpo-detector/corpo-detector.pt
ENTREGA/v7a-lateral/v7a-lateral.pt,ENTREGA,v7a-lateral,v7a-lateral.pt,b92be4f42ccfa58feceaf3ed072bc407238ba1f5d72ad842bee8dfb7b1e77d7f,6226154,,,,,,pnaat-modelos/ENTREGA/v7a-lateral/v7a-lateral.pt,ENTREGA/v7a-lateral/v7a-lateral.pt
ENTREGA/v8a-lateral/v8a-lateral.pt,ENTREGA,v8a-lateral,v8a-lateral.pt,75fd0e3d1e79c75b979a433ebab12530485130a06e0da60f8d65592138b2fdc1,6226282,,,,,,pnaat-modelos/ENTREGA/v8a-lateral/v8a-lateral.pt,ENTREGA/v8a-lateral/v8a-lateral.pt
ENTREGA/v9a-lateral/v9a-lateral.pt,ENTREGA,v9a-lateral,v9a-lateral.pt,ad4e16f4f6b016bf859ac5060be783f65d697278e4af8da5744203605bc306cc,6226026,,,,,,pnaat-modelos/ENTREGA/v9a-lateral/v9a-lateral.pt,ENTREGA/v9a-lateral/v9a-lateral.pt
ENTREGA/v9b-lateral-calibrado/v9b-lateral.pt,ENTREGA,v9b-lateral-calibrado,v9b-lateral.pt,ab05f35a63f680986c0edf679d9e44b9fe6b03a984b098c5bdcb07fad03ab4d6,6224106,,,,,,pnaat-modelos/ENTREGA/v9b-lateral-calibrado/v9b-lateral.pt,ENTREGA/v9b-lateral/v9b-lateral.pt
ENTREGA/v9b-lateral/v9b-lateral.pt,ENTREGA,v9b-lateral,v9b-lateral.pt,ab05f35a63f680986c0edf679d9e44b9fe6b03a984b098c5bdcb07fad03ab4d6,6224106,,,,,,pnaat-modelos/ENTREGA/v9b-lateral/v9b-lateral.pt,ENTREGA/v9b-lateral/v9b-lateral.pt
corpo-cls/corpo-cls/best.pt,corpo-cls,corpo-cls,best.pt,ce537925c6553754b65e6976cae5dcbe72ce219bd4f8e78b2fe06f5fe052e287,2969992,,,,,,pnaat-modelos/corpo-cls/runs/corpo-cls/weights/best.pt,ENTREGA/corpo-cls/corpo-cls.pt
corpo-cls/corpo-cls/last.pt,corpo-cls,corpo-cls,last.pt,0af5dd143e6d68c670e298b4278294857f278093a2205fd12723c3531eef0475,2969992,,,,,,pnaat-modelos/corpo-cls/runs/corpo-cls/weights/last.pt,corpo-cls/corpo-cls/last.pt
corpo-lateral-detector-roi/corpo-simples/best.pt,corpo-lateral-detector-roi,corpo-simples,best.pt,06b81f85b40c10ece236f03f259e57cdb9db5cfb0a7247c96bd64b40e0cf507d,6220138,480,200,0.0195,corpo-lateral-detector-roi/model-meta.json#metricas_val,2026-09-15T20:13:14+00:00,pnaat-modelos/corpo-lateral-detector-roi/runs/corpo-simples/weights/best.pt,ENTREGA/corpo-detector/corpo-detector.pt
